pos_id,pos_name,salary,org_id,place_id
1,軟體工程師,"35,000 / 月",1,1
2,軟體工程師,"22,000 / 月",2,1
3,櫃台,"32,000 / 月",3,1
4,硬體研發工程師,"53,800 / 月",4,6
5,硬體設計工程師,"48,000 / 月",4,8
6,產銷管理師,"50,000 / 月",4,8
7,機構工程師,"60,000 / 月",4,8
8,ME,"69,500 / 月",4,8
9,PM,"60,000 / 月",4,8
10,設備工程師,"60,000 / 月",4,8
11,助理管理師,"37,000 / 月",4,8
12,採購人員,"54,000 / 月",4,8
13,軟韌體測試工程師,"36,000 / 月",4,8
14,專員,"58,000 / 月",4,8
15,熱傳工程師,"1,350,000 / 年",4,8
16,助理工程師,"32,000 / 月",5,6
17,倉管,"29,000 / 月",6,4
18,業務,"60,000 / 月",7,6
19,製程整合工程師,"80,000 / 月",8,15
20,製造課長,"2,800,000 / 年",8,4
21,DTP,"44,500 / 月",8,15
22,?光主要設備工程師(SCANNER),"55,000 / 月",8,4
23,RD工程師,"47,000 / 月",8,15
24,製造副理,"22,000 / 月",8,8
25,自動化整合工程師,"130,000 / 月",8,15
26,生產設備工程師,"48,600 / 月",8,15
27,中班人員,"26,000 / 月",9,2
28,其他研究人員,"10,000 / 月",10,5
29,PM,"70,000 / 月",11,15
30,測試工程師,"600,000 / 年",11,11
31,硬體工程師,"50,000 / 月",11,15
32,總務櫃台,"25,000 / 月",12,5
33,RF通訊工程師,"90,000 / 月",13,13
34,軟體設計工程師,"50,000 / 月",13,13
35,SI/PI工程師,"45,000 / 月",13,13
36,外場人員,160 / 小時,14,19
37,ACCOUN MANAGER,"1,000,000 / 年",15,1
38,專案管理師,"1,000,000 / 年",15,1
39,軟體設計工程師,"50,000 / 月",15,1
40,高級工程師,"900,000 / 年",15,1
41,機構工程師,"850,000 / 年",15,1
42,其他專案管理師,"40,000 / 月",15,1
43,PM,"85,000 / 月",15,1
44,SALES LEADER,"60,000 / 月",15,1
45,軟體工程師,"43,400 / 月",15,1
46,INTERNET程式設計師,"36,000 / 月",16,1
47,軟體工程師,"45,000 / 月",16,1
48,廠務,"600,000 / 年",17,8
49,測試工程師,"35,000 / 月",18,15
50,軟體工程師,"50,000 / 月",18,15
51,廚房內場,160 / 小時,19,8
52,實習生,100 / 日,20,1
53,課長,"60,000 / 月",21,7
54,產品工程師,"40,000 / 月",21,6
55,副理,"60,000 / 月",22,1
56,專案研究員,"43,000 / 月",23,1
57,ISO╱品保人員,"38,750 / 月",24,11
58,製程工程師,"1,100,000 / 年",24,11
59,業務代表,"38,000 / 月",25,10
60,國內市場行銷,"22,000 / 月",25,10
61,博士後研究員,"73,000 / 月",26,2
62,帳務人員,"36,000 / 月",27,1
63,店員,160 / 小時,28,1
64,其他工程研發主管,"92,000 / 月",29,8
65,客戶品質工程師,"47,000 / 月",30,15
66,後端工程師,"840,000 / 年",31,6
67,法規專員,"70,000 / 月",31,1
68,理賠專員,"47,800 / 月",32,1
69,電話客服類人員,"22,000 / 月",32,1
70,專員,"45,000 / 月",32,1
71,員工,"32,000 / 月",33,1
72,設計工程師,"42,000 / 月",34,11
73,軟體工程師,"38,000 / 月",35,1
74,副工程師,"46,000 / 月",35,1
75,軟體工程師,"45,000 / 月",36,1
76,資深軟體工程師,"53,000 / 月",37,1
77,高級工程師,"65,000 / 月",37,1
78,工程師,"55,000 / 月",38,1
79,專案管理師,"38,000 / 月",39,1
80,管理師,"42,300 / 月",39,1
81,行銷服務專員,"26,000 / 月",39,5
82,專利工程師,"75,000 / 月",40,11
83,硬體資深工程師,"70,000 / 月",41,6
84,電子工程師,"39,000 / 月",41,6
85,資料分析實習生,"22,000 / 月",42,1
86,外場服務生,160 / 小時,43,2
87,資料工程師,"22,000 / 月",44,1
88,招募專員,"38,000 / 月",45,1
89,軟體工程師,"700,000 / 年",46,15
90,有機化學分析師,"47,000 / 月",47,2
91,測試工程師,"40,000 / 月",47,6
92,人力資源助理,"28,000 / 月",48,5
93,硬體測試工程師,"51,600 / 月",48,4
94,電子工程師,"800,000 / 年",48,6
95,專案管理主管,"85,000 / 月",48,1
96,人力資源人員,"500,000 / 年",48,5
97,硬體工程師,"50,000 / 月",48,1
98,主任工程師,"1,180,000 / 年",48,6
99,POWER測試工程師,"32,000 / 月",48,6
100,機械工程師,"45,000 / 月",49,1
101,副研究員,"78,400 / 月",50,8
102,研究員,"75,000 / 月",50,8
103,一級技術助理,"28,000 / 月",51,2
104,主任審計員,"48,000 / 月",52,1
105,顧問師,"42,000 / 月",52,1
106,SPECIALIST,"500,000 / 年",52,1
107,採購,"49,000 / 月",53,8
108,藝術行政,"26,000 / 月",54,1
109,關鍵技術機構工程師,"42,000 / 月",55,2
110,門市╱店員╱專櫃人員,"23,800 / 月",55,4
111,工程師,"45,000 / 月",56,15
112,有機合成工程師,"37,000 / 月",56,15
113,合成工程師,"36,000 / 月",56,15
114,製程研發,"46,000 / 月",57,4
115,國內業務人員,"27,000 / 月",58,5
116,工程師,"22,000 / 月",59,6
117,產品工程師,"1,460,000 / 年",60,15
118,資深系統設計師,"600,000 / 年",61,1
119,品管╱檢驗人員,"31,000 / 月",62,7
120,所務,200 / 小時,63,8
121,機構工程師,"22,000 / 月",64,8
122,其他專案管理師,"60,000 / 月",65,6
123,生產線工程師,"48,000 / 月",66,5
124,電子工程師,"48,000 / 月",66,4
125,美工設計,"28,500 / 月",67,10
126,暑期實習生,"32,000 / 月",68,2
127,軟體工程師,"75,000 / 月",68,2
128,高級工程師,"1,050,000 / 年",68,15
129,製程設備工程師,"960,000 / 年",68,8
130,實習生,"27,000 / 月",68,15
131,電子工程師,"60,000 / 月",68,15
132,資深工程師,"1,000,000 / 年",68,2
133,擴散製程工程師,"67,000 / 月",69,15
134,資深設備工程師,"108,000 / 月",69,15
135,實習生,"40,000 / 月",69,15
136,技術員,"55,000 / 月",70,8
137,BIOS工程師,"43,000 / 月",71,8
138,EMC╱電子安規工程師,"22,000 / 月",71,8
139,作業員╱包裝員,"35,000 / 月",71,8
140,SIT系統整合測試,"36,000 / 月",71,8
141,SIT,"43,000 / 月",71,8
142,硬體測試工程師,"40,000 / 月",71,8
143,軟體工程師,"48,000 / 月",71,1
144,電子工程師,"60,000 / 月",71,1
145,高級機構工程師,"47,000 / 月",71,1
146,工讀生,160 / 小時,72,4
147,夜班PT,160 / 小時,73,5
148,行銷業務,"22,000 / 月",74,15
149,研發工程師,"45,000 / 月",74,15
150,產品研發工程師,"48,000 / 月",74,15
151,社群行銷,"22,000 / 月",75,15
152,採購,"24,600 / 月",76,2
153,MACHINE LEARNING RA,"50,000 / 月",77,8
154,研究助理,"37,000 / 月",77,8
155,品牌行銷專員,"33,000 / 月",78,5
156,工程師,"30,000 / 月",79,4
157,記者,"35,000 / 月",80,1
158,行政專員,150 / 小時,81,6
159,外勤工程師,"32,000 / 月",82,1
160,服務人員,"30,000 / 月",83,10
161,員工,158 / 小時,83,1
162,櫃台人員,"22,000 / 月",83,2
163,服務員,"22,000 / 月",83,6
164,製程工程師,"40,000 / 月",84,8
165,業務,"19,000 / 月",85,4
166,數位IC設計工程師,"85,000 / 月",86,15
167,設備工程師,"50,000 / 月",87,5
168,半導體製程工程師,"49,000 / 月",87,5
169,MES工程師,"40,000 / 月",87,8
170,作業員,"33,000 / 月",87,5
171,客戶整合工程師,"50,000 / 月",87,8
172,生產設備工程師,"58,000 / 月",87,5
173,LCD製程工程師,"55,000 / 月",87,4
174,半導體設備工程師,"55,000 / 月",87,8
175,SECTION MANGER,"120,000 / 月",87,8
176,專案產品工程師,"45,000 / 月",87,5
177,半導體工程師,"40,000 / 月",87,5
178,資訊工程師,"45,000 / 月",87,5
179,廠務值班工程師,"35,000 / 月",87,5
180,製程工程師,"700,000 / 年",87,5
181,產品測試工程師,"40,000 / 月",87,5
182,品管╱品保工程師,"50,000 / 月",87,8
183,客戶工程整合工程師,"50,000 / 月",87,8
184,倉管,"28,000 / 月",88,3
185,業務管理師,"450,000 / 年",88,6
186,產品管理師,"56,000 / 月",88,6
187,麵包師,"34,000 / 月",89,6
188,管線建造工程師,"65,000 / 月",90,2
189,資深人資專員,"45,000 / 月",90,1
190,安衛環工程師,"43,000 / 月",90,1
191,設備工程師,"70,000 / 月",90,1
192,方法工程師,"60,000 / 月",90,1
193,記帳╱出納╱一般會計,"30,000 / 月",91,1
194,實習生,"22,000 / 月",92,1
195,系統工程師,"49,000 / 月",93,1
196,助工,"32,000 / 月",93,1
197,經理,"1,800,000 / 年",94,2
198,保全人員╱警衛,"32,000 / 月",95,3
199,業務,"28,000 / 月",96,2
200,生產工程師,"45,000 / 月",97,14
201,研發工程師,"42,800 / 月",97,14
202,國內營業部,"40,000 / 月",97,14
203,助理工程師,"33,500 / 月",97,14
204,機構工程師,"42,000 / 月",97,14
205,高級工程師,"44,000 / 月",98,8
206,約聘人員,"26,000 / 月",99,1
207,資深工程師,"800,000 / 年",99,1
208,實習,"20,000 / 月",99,6
209,經理,"70,000 / 月",99,1
210,兼職外場服務生,156 / 日,100,1
211,代理店長,"350,000 / 年",101,4
212,資深工程師,"520,000 / 年",102,1
213,企劃,"22,000 / 月",102,1
214,軟體工程師,"33,000 / 月",103,1
215,電腦繪圖員,"30,000 / 月",104,11
216,採購經理,"70,000 / 月",105,1
217,資料處理專員,"43,000 / 月",106,1
218,作業員,"33,000 / 月",107,6
219,生產技術╱製程工程師,"60,000 / 月",107,8
220,軟體工程師,"35,000 / 月",108,11
221,UI設計,"22,000 / 月",109,6
222,UI設計師,"42,000 / 月",110,2
223,專案副理,"70,000 / 月",111,8
224,微波工程師,"43,000 / 月",112,3
225,實習生,"28,000 / 月",113,2
226,技術師,"34,500 / 月",113,2
227,自動控制工程師,"55,000 / 月",113,2
228,機構工程師,"48,000 / 月",113,2
229,資深工程師,"100,000 / 月",113,2
230,自動化工程師,"52,000 / 月",113,2
231,業務,"25,000 / 月",114,1
232,秘書,"30,000 / 月",115,5
233,營業人員,"42,000 / 月",116,1
234,硬體工程,"68,000 / 月",117,2
235,美編行銷人員,"28,000 / 月",118,8
236,文書人員,"40,000 / 月",119,1
237,MES工程師,"35,000 / 月",120,6
238,廣告文案企劃,"28,000 / 月",121,6
239,軟體設計工程師,"38,000 / 月",122,1
240,工程師,"380,000 / 月",123,1
241,ACCOUNT MANAGER,"50,000 / 月",124,1
242,實習生,160 / 小時,125,2
243,軟體工程師,"36,000 / 月",125,1
244,系統分析師,"48,000 / 月",125,1
245,軟體工程師,"1,022,000 / 年",126,1
246,客服PT,120 / 小時,127,8
247,賣場陳列人員-寒/暑期工讀生,140 / 小時,127,2
248,業務專員,"40,000 / 月",128,8
249,實習生,160 / 小時,129,1
250,顧問,"38,000 / 月",129,1
251,審計員,"50,000 / 月",129,1
252,副理,"60,000 / 月",129,2
253,化學相關研究員,"48,400 / 月",130,6
254,產品經理,"50,000 / 月",131,3
255,軟韌體工程師,"90,000 / 月",132,15
256,數位IC設計工程師,"150,000 / 月",132,15
257,主任工程師,"140,000 / 月",132,10
258,資深工程師,"2,000,000 / 年",132,15
259,軟體工程師,"100,000 / 月",132,1
260,資深類比IC設計工程師,"100,000 / 月",132,15
261,APR實體佈局工程師,"70,000 / 月",132,15
262,TV FAE工程師,"90,000 / 月",132,10
263,硬體驗證工程師,"1,800,000 / 年",132,10
264,軟體工程師,"95,800 / 月",133,6
265,深度學習演算法工程師,"70,000 / 月",133,8
266,技術助理,"32,000 / 月",134,14
267,電子工程師,"45,000 / 月",134,2
268,設備工程師,"900,000 / 年",134,15
269,韌體設計工程師,"42,000 / 月",134,2
270,製程整合,"57,000 / 月",134,2
271,生產設備工程師,"37,000 / 月",134,14
272,生技工程師,"40,000 / 月",135,5
273,PM,"90,000 / 月",136,8
274,資深軟體工程師,"67,000 / 月",137,6
275,ASSOCIATE PRODUCT MANAGER,"36,000 / 月",138,1
276,客戶服務工程師,"38,000 / 月",139,2
277,後端工程師,"70,000 / 月",140,2
278,硬體工程師,"66,000 / 月",141,15
279,門市╱店員╱專櫃人員,"22,000 / 月",142,8
280,儲備主管,"36,000 / 月",142,2
281,店長╱賣場管理人員,"42,000 / 月",142,8
282,支援大夜,"35,000 / 月",142,2
283,工讀,140 / 小時,142,5
284,暑期實習生,"22,000 / 月",143,4
285,行政總務人員,"22,000 / 月",144,1
286,業務專員,"30,000 / 月",144,1
287,多媒體動畫設計師,"28,000 / 月",144,1
288,人資專員,"30,000 / 月",144,1
289,技術員,"28,000 / 月",145,10
290,硬體工程師,"100,000 / 月",146,10
291,產品售後技術服務,"63,000 / 月",146,4
292,電源工程師,"75,000 / 月",146,8
293,SMT ME工程師,"39,000 / 月",146,8
294,機構工程師,"22,000 / 月",146,8
295,韌體工程師,"57,500 / 月",146,8
296,行銷,"40,000 / 月",146,1
297,產品經理,"110,000 / 月",146,8
298,測試工程師,"71,000 / 月",146,1
299,工業工程師╱生產線規劃,"36,000 / 月",146,4
300,工業工程師,"47,000 / 月",146,8
301,品管主任,"75,000 / 月",147,10
302,產品專員,"50,000 / 月",148,6
303,高級工程師,"58,000 / 月",148,6
304,軟體設計工程師,"43,000 / 月",148,6
305,製程工程師,"950,000 / 年",149,8
306,設備助工,"37,000 / 月",149,8
307,產品設計工程師,"47,500 / 月",149,8
308,研發,"55,000 / 月",150,11
309,工讀生,166 / 小時,151,8
310,客服人員,143 / 小時,152,1
311,業務人員,"40,000 / 月",152,6
312,經營企劃專員,"650,000 / 年",152,1
313,業務專員,"31,000 / 月",153,1
314,手配,"37,000 / 月",153,1
315,會計,"45,000 / 月",153,1
316,旅遊服務專員,"31,000 / 月",153,8
317,助理工程師,"30,000 / 月",154,4
318,國貿人員,"560,000 / 年",154,4
319,高級專員,"43,000 / 月",155,1
320,客服工程師,"44,000 / 月",155,1
321,業務員,32 / 月,155,20
322,影像軟體工程師,"48,000 / 月",156,14
323,資深軟體工程師,"200,000 / 月",157,15
324,工程師,"45,000 / 月",158,1
325,行政,"33,000 / 月",158,1
326,自有品牌PM,"1,100,000 / 年",159,6
327,資深工程師,"53,000 / 月",160,5
328,製造工程師,"49,800 / 月",161,8
329,硬體研發工程師,"68,000 / 月",162,1
330,SQM,"74,000 / 月",163,15
331,工程師,"700,000 / 年",163,15
332,後端工程師,"45,000 / 月",163,6
333,驗證工程師,"38,000 / 月",163,1
334,軟體工程師,"58,000 / 月",163,6
335,PM,"63,000 / 月",163,6
336,硬體工程師,"40,000 / 月",163,6
337,硬體研發工程師,"42,600 / 月",163,6
338,零件工程師,"78,000 / 月",163,1
339,硬體測試工程師,"60,000 / 月",163,1
340,技術主任,"68,000 / 月",163,1
341,硬體工程師。專員,"1,200,000 / 年",163,1
342,產品協調管理師,"35,000 / 月",163,1
343,資深工程師,"52,000 / 月",163,6
344,PHP 後端,"45,000 / 月",164,2
345,經理,"90,000 / 月",165,5
346,工程師,"48,000 / 月",165,8
347,製程設備工程師,"45,000 / 月",166,4
348,PM,"80,000 / 月",167,6
349,助理技術師,"50,000 / 月",168,10
350,經營管理主管,"11,111 / 月",169,2
351,INTERNET程式設計師,"22,000 / 月",170,2
352,副組長,"38,000 / 月",171,1
353,審計實習生,"22,000 / 月",171,1
354,軟體工程師,"43,000 / 月",172,1
355,財務或會計主管,"800,000 / 年",173,1
356,資訊工程師,"44,000 / 月",174,1
357,軟體工程師,"65,000 / 月",174,1
358,ANDROID 工程師,"900,000 / 年",174,1
359,RF 工程師,"55,000 / 月",174,1
360,硬體研發工程師,"70,000 / 月",174,1
361,軟體設計工程師,"70,000 / 月",174,1
362,硬體工程研發主管,"115,000 / 月",174,1
363,品保工程師,"40,000 / 月",174,6
364,CPM,"80,000 / 月",174,1
365,PM,"42,000 / 月",174,1
366,管理師,"39,000 / 月",175,1
367,資深管理師,"50,000 / 月",175,1
368,行銷管理師,"22,000 / 月",175,1
369,商標╱專利人員助理,"25,000 / 月",176,15
370,設備工程師,"22,000 / 月",176,15
371,工程師,"125,000 / 月",176,4
372,半導體設備工程師,"100,000 / 月",176,2
373,模組副工程師,"72,000 / 月",176,2
374,IT實習生,"23,100 / 月",176,4
375,製程整合工程師,"1,600,000 / 年",176,15
376,半導體製程工程師,"60,000 / 月",176,2
377,課長,"22,000 / 月",176,15
378,IT ENGINEER,"1,500,000 / 年",176,15
379,廠務工程師,"63,500 / 月",176,15
380,製程工程師,"45,499 / 月",176,15
381,助理工程師,"30,000 / 月",176,4
382,生管工程師,"40,000 / 月",177,11
383,產品工程師,"40,000 / 月",177,11
384,生產設備工程師,"36,000 / 月",177,15
385,工程師,"40,000 / 月",177,11
386,硬體研發工程師,"42,000 / 月",177,11
387,高級工程師,"45,000 / 月",177,11
388,生管,"22,000 / 月",177,11
389,測試工程師,"40,000 / 月",178,1
390,硬體工程師,"22,000 / 月",178,1
391,研究助理,"43,750 / 月",179,10
392,PROJECT MANAGER,"884,000 / 年",180,1
393,軟體工程師,"50,000 / 月",180,1
394,軟體工程師,"53,000 / 月",181,10
395,軟韌體工程師,"60,000 / 月",181,10
396,資深工程師,"1,000,000 / 年",181,10
397,工程師,"38,000 / 月",182,2
398,品管╱檢驗人員,"25,000 / 月",183,6
399,硬體研發工程師,"22,000 / 月",183,6
400,鐵板燒學徒/師傅 日/晚班,"47,000 / 月",184,1
401,工讀生,"28,000 / 月",185,1
402,工程師,"63,000 / 年",186,1
403,廠務,"32,000 / 月",187,8
404,機構工程師,"58,000 / 月",188,6
405,電子工程師,"50,000 / 月",188,6
406,現場人員,"24,000 / 月",189,4
407,理財實習生,"1,500 / 日",190,1
408,專案專員,"34,000 / 月",191,1
409,工程師,"44,000 / 月",192,2
410,專案主任,"68,000 / 月",193,6
411,外務╱快遞╱送貨,"29,000 / 月",194,1
412,軟體工程師,"1,000,000 / 年",195,1
413,專員,"37,000 / 月",195,2
414,光機工程師,"48,000 / 月",196,10
415,機構工程師,"44,000 / 月",196,10
416,研發主任,"1,100,000 / 年",197,6
417,工程師,"850,000 / 年",198,15
418,助理工程師,"43,000 / 月",198,15
419,機構副工程師,"42,000 / 月",198,15
420,機構工程師,"45,000 / 月",198,6
421,電控工程師,"37,000 / 月",198,15
422,公用課班長,"45,000 / 月",199,8
423,副研究員,"94,500 / 月",200,15
424,台籍助教,180 / 小時,201,5
425,技術員,"27,000 / 月",202,5
