公司,工作地區,職稱,start_time,end_time,最高學歷,一週工時,待遇,是否推薦此工作,內容
精技電腦,臺北市,軟體工程師,2005-01-01,2007-01-21,大學,40,"35,000 / 月",推,"【同事人都很nice】
同事人都很nice"
飛幕科技有限公司,臺北市,軟體工程師,2004-01-01,2006-01-20,大學,45,,不推,"【工作心得】
這邊很看上層的心情，
心情不好可以給你無條件資遣、冷凍，

然後這上層RD功力大概只有1年左右的CRUD而已，
新手來這邊沒什麼好成長的，
老手他又怕你比他強！拿了你的技術就會找你麻煩把你弄走。

他自己的朋友們來公司幫他，
反而都鬧翻且跟老闆打小報告要開掉自己的朋友，

這邊待了越久越多鬼故事可以講！


【升遷制度】
都是假的~~~~~餅很大
看心情才是重點"
永祥蔬果行,臺北市,櫃台,1900-01-20,1902-01-19,大學,40,"32,000 / 月",推,"【實際工作情況】
基本上不難，老闆會教流程。好好學很快就上手。可以認識附近鄰居，同事之間相處簡單。"
廣達電腦股份有限公司,新北市,硬體研發工程師,2001-01-21,2003-01-21,碩士,46,"53,800 / 月",推,"【工作內容:】
硬體研發需要良好溝通能力, 雜事會處理很多,進來需想清楚,忙的時候很忙,不過如果是BU9分紅福利應該是不錯，新人可以練練功，學習X86架構設計

【薪資福利】
分紅:1~3個月左右 年終:2~6個月
新人通常不會拿滿"
廣益全球驗證股份有限公司,新北市,助理工程師,1900-01-20,1902-01-19,大學,43,"32,000 / 月",推,"【工作很容】
光學儀器量測"
巨東儲業有限公司,臺南市,倉管,1900-01-20,1902-01-19,,,"29,000 / 月",不推,"【??不推】
這間公司很會用名目高薪低報，所以底薪很低，會用其他名目灌到月薪很漂亮。
有認識的人介紹薪水可以29-34
自己上面的大概就是全薪25-27不等
加班超過46小時的會使用AB帳逃漏稅
就是不打卡 私下填寫加班單申請加班費
同事都是70-90起跳的～"
大川,新北市,業務,2003-01-21,2005-01-20,大學,48,"60,000 / 月",,"【獲得的成長】
可以接觸不同的各行各業，例如電視台跟報業。
但因為工作時間較為彈性，所以要自己做好業務安排。"
台積電,新竹市,製程整合工程師,2001-01-21,2003-01-21,碩士,60,"80,000 / 月",不推,"【1.工作節奏很快，學習反應快的人，不會有適應問題】
2. 同事之間無法真心相處
3. 一定會被罵，可以快速調適者，非常適合"
萊爾富國際股份有限公司,臺中市,中班人員,1900-01-20,1902-01-19,大學,40,"26,000 / 月",推,"【實際工作內容】
收銀、整理貨物、清潔、煮咖啡茶葉蛋、產品上下架

【心得】
我是在加盟店上班，規則沒有直營這麼多，
但一個人顧班是最為詬病的，等當兵做做還行，但無法長久。"
中山大學,高雄市,其他研究人員,2003-01-21,2005-01-20,碩士,8,"10,000 / 月",不推,"【碩士生 哭阿】
薪水低 還要被壓榨"
智邦科技股份有限公司,新竹市,PM,2012-01-21,2014-01-20,大學,40,"70,000 / 月",推,"【一條龍式的PM  沒有工廠pm 試產都要自己追】
也要追料

【公司 / 團隊文化】
資深員工容易情緒化"
錡瑞實業有限公司,高雄市,總務櫃台,1900-01-20,1902-01-19,大學,40,"25,000 / 月",不推,"【薪資福利】
薪資結構底薪為23000，有全勤1000，職位獎金1000，需要被扣140的福利金，有3個月試用期，過了調整薪資機率極低，只要請假扣薪為時薪100，一天日薪800，非常之低薪，只要遲到超過5分鐘就需要請事假1小時、請病假及事假全勤就會被扣。每月2號薪資轉帳，有薪資條。

【實際工作內容】
此公司每天早上8:00-8:30為打掃時間，此職位不是單純櫃檯接聽電話還要做文書資料，文書資料量非常大，連台中分公司都要一起負責，資料每個月需要跟帳單一起寄出，客戶臨時需要資料需要趕件給客戶，文書內容為 製作材質證明給客戶，需要人工翻閱廠商寄來的書面資料，確定材質尺寸後，複印需要件數，加蓋大小章及修改資料，在寄出，過程非常繁瑣之外還要負責接聽電話，人在櫃檯未接聽電話會被主管責罵，外出郵局寄信及黑貓寄件、影印機處理都是此職位之工作。

【工時狀況】
月底結帳時需視自身情狀加班，正常時間皆為8-5，加班需呈報主管，主管同意後可加班

【其他福利】
無年終，提供員工旅遊，聚餐，端午及中秋禮品，員工聚餐的餐費來源為每月扣款140，需到職半年才可免費參加，舉辦聚餐為每半年一次，只收到3顆柚子及客戶送來的月餅禮盒作為中秋禮品，端午禮品有待確認

【離職】
依勞基法規定天數提出離職申請，需寫公司制定離職申請書，離職後薪資部分依公司規定移至10日領薪，而且是要親自去領現金。"
環鴻科技股份有限公司,南投縣,RF通訊工程師,2005-01-21,2007-01-21,碩士,42,"90,000 / 月",推,"【工作內容主要為微小化無線射頻模組 】
1. Discuss with customer about RF spec. and physical dimension. 2. Schematic drawing and CAD layout. 3. DFM with TP and vender. 4. RF performance measurement. 5. Come out test report to customer. 6. Co-work with verification member to finish certification. 7. Maintain project to MP stage.    "
廣達電腦股份有限公司,桃園市,硬體設計工程師,1900-01-20,1902-01-19,碩士,50,"48,000 / 月",不推,"【奇怪職場文化的公司】
副理不會MOS特性，提出問題被說壞話。

強迫員工加班，否則人會被換部門支援，project本身就有分超忙的時候跟沒那麼忙的時候，因為加班時數少就把人換走是什麼確診邏輯？搞得沒那麼忙的時候還要刻意留下來騙時數??

把員工當消耗品用，發現收過頭就刻意施壓耍伎倆把人弄掉。"
洋城義大利餐廳,屏東縣,外場人員,2002-01-21,2004-01-21,大學,40,160 / 小時,推,"【餐飲業無誤】
學習到不同崗位的工作"
和碩聯合科技股份有限公司,臺北市,ACCOUN MANAGER,2005-01-21,2007-01-21,碩士,40,"1,000,000 / 年",不推,"【戰略轉型】
若仍盼望以PC為主的求職者 要三思"
